Body Mass (g),Clutch Completion,Comments,Culmen Depth (mm),Culmen Length (mm),Date Egg,Delta 13 C (o/oo),Delta 15 N (o/oo),Flipper Length (mm),Individual ID,Island,Region,Sample Number,Sex,Species,Stage,studyName
4750.0,Yes,,13.8,44.9,11/22/09,-26.20372,8.11238,212.0,N8A1,Biscoe,Anvers,85,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4400.0,Yes,,14.4,45.1,11/4/08,-27.01854,8.51951,210.0,N14A1,Biscoe,Anvers,53,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3950.0,Yes,,18.1,38.2,11/12/07,-25.22664,8.43423,185.0,N12A2,Biscoe,Anvers,24,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4050.0,Yes,,19.5,42.0,11/9/08,-26.3146,8.48095,200.0,N22A2,Biscoe,Anvers,54,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3700.0,Yes,,19.9,51.3,11/21/07,-24.36088,8.79581,198.0,N67A2,Dream,Anvers,10,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4000.0,Yes,,18.5,41.5,11/17/09,-26.06967,8.8964,201.0,N85A2,Dream,Anvers,152,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5500.0,Yes,,15.0,49.1,11/18/09,-25.79203,8.65914,228.0,N23A2,Biscoe,Anvers,104,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3550.0,Yes,,17.5,39.0,11/15/08,-26.07188,8.57199,186.0,N24A1,Biscoe,Anvers,57,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4475.0,Yes,,18.5,37.5,11/10/09,-26.49288,8.56708,199.0,N76A2,Dream,Anvers,134,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3175.0,Yes,,17.5,35.6,11/16/09,-25.97696,8.75984,191.0,N78A1,Dream,Anvers,137,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
2900.0,Yes,,17.0,38.6,11/18/09,-25.77264,9.18021,188.0,N63A1,Torgersen,Anvers,117,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5800.0,Yes,,16.0,48.6,11/6/08,-26.71199,8.5964,230.0,N56A2,Biscoe,Anvers,76,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
,Yes,Adult not sampled.,,,11/16/07,,,,N2A2,Torgersen,Anvers,4,,Adelie,"Adult, 1 Egg Stage",PAL0708
3700.0,Yes,,17.8,46.4,11/14/08,-24.52896,9.37369,191.0,N62A1,Dream,Anvers,29,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
4700.0,Yes,,14.2,43.5,11/13/08,-26.68867,8.64931,220.0,N53A1,Biscoe,Anvers,69,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3400.0,No,,18.4,50.5,11/25/08,-23.89017,8.9399,200.0,N61A1,Dream,Anvers,27,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3775.0,Yes,,20.5,37.3,11/18/09,-26.36678,9.49645,199.0,N63A2,Torgersen,Anvers,118,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5950.0,Yes,,15.9,49.8,11/20/09,-26.21019,8.29226,229.0,N32A2,Biscoe,Anvers,112,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3150.0,Yes,,16.9,35.7,11/13/08,-26.40943,8.96472,185.0,N27A1,Biscoe,Anvers,61,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3775.0,Yes,,18.7,50.2,11/21/09,-24.25255,9.39305,198.0,N100A2,Dream,Anvers,68,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3675.0,Yes,,17.9,50.9,11/17/09,-24.16566,9.43684,196.0,N86A1,Dream,Anvers,45,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4775.0,Yes,,19.0,43.2,11/20/09,-25.45171,9.31735,197.0,N55A2,Biscoe,Anvers,110,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4300.0,Yes,,18.9,40.1,11/6/08,-26.55602,8.51362,188.0,N21A2,Biscoe,Anvers,52,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3525.0,Yes,,18.7,45.4,11/26/07,-24.62717,8.64701,188.0,N62A2,Dream,Anvers,4,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3950.0,Yes,,19.0,51.4,11/21/09,-24.36202,9.43782,201.0,N90A2,Dream,Anvers,52,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3800.0,Yes,,17.4,39.5,11/11/07,-24.69454,8.94956,186.0,N1A2,Torgersen,Anvers,2,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3350.0,Yes,,16.7,42.5,11/24/08,-24.45195,9.36668,187.0,N65A1,Dream,Anvers,33,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
4400.0,Yes,,14.5,46.5,11/27/07,-25.3947,7.90436,213.0,N42A1,Biscoe,Anvers,23,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
2900.0,No,,16.6,43.2,11/28/07,-25.01185,9.35416,187.0,N85A1,Dream,Anvers,23,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4400.0,Yes,,21.1,41.3,11/13/08,-26.37809,8.74802,195.0,N27A2,Biscoe,Anvers,62,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3250.0,Yes,,16.7,39.5,11/9/07,-25.11223,9.69756,178.0,N21A1,Dream,Anvers,31,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4650.0,Yes,,15.2,43.5,11/27/09,-26.11046,8.21634,213.0,N34A1,Biscoe,Anvers,113,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5200.0,Yes,,15.7,50.8,11/27/09,-26.11244,8.27102,226.0,N19A2,Biscoe,Anvers,96,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4100.0,Yes,,19.0,50.8,11/21/09,-24.68741,9.98044,210.0,N100A1,Dream,Anvers,67,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
5350.0,Yes,,15.9,50.0,11/15/09,-26.39677,8.20042,224.0,N6A2,Biscoe,Anvers,84,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4850.0,Yes,,15.0,48.5,11/22/09,-26.18763,8.10231,219.0,N22A1,Biscoe,Anvers,101,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3725.0,Yes,,17.9,35.0,11/9/09,-26.28055,8.84451,192.0,N47A1,Biscoe,Anvers,101,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3500.0,Yes,,18.5,36.8,11/10/09,-25.57647,8.98705,193.0,N76A1,Dream,Anvers,133,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3800.0,Yes,,17.2,38.8,11/10/07,-25.29856,9.63954,180.0,N13A1,Biscoe,Anvers,25,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3175.0,Yes,,17.0,38.1,11/20/09,-25.27385,9.79532,181.0,N55A1,Biscoe,Anvers,109,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3000.0,Yes,,16.9,37.0,11/16/07,-25.01745,9.36392,185.0,N28A1,Dream,Anvers,45,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3525.0,Yes,,19.4,45.6,11/21/09,-24.65786,9.46985,194.0,N95A2,Dream,Anvers,60,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3700.0,Yes,,18.6,38.1,11/8/08,-26.50086,8.10277,190.0,N49A1,Dream,Anvers,97,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4600.0,Yes,,20.3,45.6,11/12/09,-26.32909,8.65466,191.0,N58A2,Biscoe,Anvers,112,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3650.0,Yes,,17.5,46.2,11/24/08,-24.66188,9.61734,187.0,N74A2,Dream,Anvers,42,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
4850.0,Yes,,14.3,46.8,11/22/09,-26.13832,8.41151,215.0,N39A1,Biscoe,Anvers,121,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3400.0,Yes,,18.3,37.8,11/12/07,-25.09383,8.73762,174.0,N11A1,Biscoe,Anvers,21,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4875.0,Yes,,14.0,47.5,11/25/09,-26.23613,8.12691,212.0,N14A1,Biscoe,Anvers,89,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3200.0,Yes,,17.7,39.7,11/15/09,-26.06203,9.02657,193.0,N60A1,Biscoe,Anvers,113,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3550.0,Yes,,17.2,39.6,11/11/08,-26.55351,8.33524,196.0,N35A1,Torgersen,Anvers,73,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4800.0,Yes,,14.5,46.2,11/27/07,-25.37899,7.84057,209.0,N40A1,Biscoe,Anvers,19,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
5500.0,Yes,,15.8,53.4,11/10/09,-26.33867,8.41017,219.0,N28A2,Biscoe,Anvers,108,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5000.0,Yes,,15.6,46.4,11/3/08,-26.70783,8.35078,221.0,N54A2,Biscoe,Anvers,72,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3650.0,Yes,,17.0,45.7,11/19/09,-24.31912,9.26715,195.0,N98A1,Dream,Anvers,63,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4950.0,Yes,,15.0,47.5,11/25/09,-26.08547,8.29671,218.0,N15A1,Biscoe,Anvers,91,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3100.0,Yes,,18.5,36.0,11/19/07,-25.03492,9.50772,186.0,N27A1,Dream,Anvers,43,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4250.0,Yes,No blood sample obtained for sexing.,20.2,42.0,11/9/07,-25.09368,9.13362,190.0,N5A2,Torgersen,Anvers,10,,Adelie,"Adult, 1 Egg Stage",PAL0708
3350.0,Yes,,17.0,35.7,11/22/09,-23.90309,8.96436,189.0,N64A1,Torgersen,Anvers,119,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4675.0,No,Nest never observed with full clutch.,19.6,39.2,11/15/07,-24.89958,9.4606,195.0,N4A2,Torgersen,Anvers,8,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4200.0,Yes,,19.4,35.1,11/7/08,-26.46254,8.90002,193.0,N40A2,Torgersen,Anvers,84,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3000.0,Yes,,16.8,37.3,11/16/09,-25.85203,9.06829,192.0,N82A1,Dream,Anvers,145,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4400.0,Yes,,19.7,44.1,11/19/07,-24.52698,9.2372,196.0,N27A2,Dream,Anvers,44,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4725.0,Yes,,13.8,47.3,12/1/09,-26.23886,8.25818,216.0,N24A1,Biscoe,Anvers,105,,Gentoo,"Adult, 1 Egg Stage",PAL0910
5750.0,Yes,,15.7,50.4,11/22/09,-26.04117,8.30166,222.0,N39A2,Biscoe,Anvers,122,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5100.0,Yes,,13.3,44.9,11/2/08,-26.89644,8.45167,213.0,N12A1,Biscoe,Anvers,49,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4075.0,Yes,,18.3,42.7,11/17/09,-26.42018,8.91434,196.0,N61A2,Biscoe,Anvers,116,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3325.0,No,Nest never observed with full clutch.,17.9,38.5,11/23/09,-25.57956,8.9846,190.0,N73A1,Torgersen,Anvers,131,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5550.0,Yes,,15.9,50.5,11/3/08,-26.60436,8.46894,222.0,N8A1,Biscoe,Anvers,45,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3600.0,Yes,,18.6,49.7,11/25/08,-24.31198,9.75486,195.0,N67A1,Dream,Anvers,35,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
5250.0,Yes,,16.5,51.1,11/18/09,-26.36863,8.2066,225.0,N21A2,Biscoe,Anvers,100,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4250.0,No,Nest never observed with full clutch.,17.9,39.7,11/16/09,-25.88798,9.25769,193.0,N79A2,Dream,Anvers,140,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5650.0,Yes,,15.7,54.3,11/13/08,-26.84166,8.49662,231.0,N19A2,Biscoe,Anvers,64,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5100.0,Yes,,15.6,48.2,11/9/08,-26.66958,8.24651,221.0,N55A1,Biscoe,Anvers,73,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4900.0,Yes,,14.4,46.5,11/4/08,-26.83006,8.48789,217.0,N15A1,Biscoe,Anvers,55,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5550.0,Yes,,17.0,52.1,11/25/09,-26.11657,8.27595,230.0,N14A2,Biscoe,Anvers,90,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4850.0,Yes,,14.2,46.6,11/4/08,-26.86352,8.38289,210.0,N13A1,Biscoe,Anvers,51,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3600.0,Yes,,19.0,33.5,11/14/08,-26.63085,7.88863,190.0,N34A1,Torgersen,Anvers,71,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3600.0,Yes,,18.8,38.9,11/8/08,-26.11199,8.36936,190.0,N44A2,Dream,Anvers,90,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3050.0,No,Nest never observed with full clutch.,16.6,35.9,11/11/08,-26.07821,8.47781,190.0,N32A1,Torgersen,Anvers,69,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4300.0,Yes,,19.6,49.0,11/27/09,-24.45189,9.34089,212.0,N87A2,Dream,Anvers,48,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3300.0,No,Nest never observed with full clutch.,19.3,37.6,11/13/07,-25.04169,9.41131,181.0,N25A1,Dream,Anvers,39,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4450.0,Yes,,18.1,39.6,11/5/08,-26.42406,8.49915,186.0,N46A2,Dream,Anvers,94,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4250.0,Yes,,18.5,42.8,11/8/08,-26.38986,8.2993,195.0,N36A2,Torgersen,Anvers,76,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3750.0,Yes,,18.2,51.3,11/28/07,-24.84059,8.63701,197.0,N66A2,Dream,Anvers,8,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4050.0,Yes,,18.2,41.1,11/13/08,-26.60023,8.62264,192.0,N28A2,Biscoe,Anvers,64,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3275.0,Yes,,17.6,38.8,11/21/09,-25.89741,8.88098,191.0,N71A1,Torgersen,Anvers,127,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3700.0,Yes,No blood sample obtained.,17.3,37.8,11/9/07,,,180.0,N6A2,Torgersen,Anvers,12,,Adelie,"Adult, 1 Egg Stage",PAL0708
5400.0,Yes,,14.5,47.6,11/18/07,-25.54456,8.2345,215.0,N33A1,Biscoe,Anvers,5,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3750.0,Yes,,18.1,37.8,11/17/09,-26.03495,8.97533,193.0,N84A2,Dream,Anvers,150,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4500.0,Yes,,13.2,46.1,11/27/07,-25.5139,7.993,211.0,N31A1,Biscoe,Anvers,1,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
6000.0,Yes,,16.2,48.8,12/1/09,-25.88547,8.33825,222.0,N36A2,Biscoe,Anvers,118,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4450.0,Yes,,14.1,48.7,11/27/07,-25.46172,8.14705,210.0,N32A1,Biscoe,Anvers,3,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3550.0,Yes,,20.3,41.3,11/17/08,-26.09635,9.14863,194.0,N41A2,Dream,Anvers,86,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5000.0,Yes,,15.0,50.1,11/4/08,-26.61414,8.50153,225.0,N14A2,Biscoe,Anvers,54,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4000.0,Yes,,19.0,40.6,11/18/09,-25.60826,9.22537,199.0,N69A2,Torgersen,Anvers,126,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4200.0,Yes,,13.8,45.3,11/3/08,-26.79053,8.65015,208.0,N18A1,Biscoe,Anvers,61,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3400.0,Yes,,17.1,34.0,11/5/08,-26.69543,8.01485,185.0,N46A1,Dream,Anvers,93,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5350.0,Yes,,15.7,48.7,11/9/08,-26.84506,8.14776,208.0,N5A2,Biscoe,Anvers,40,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5550.0,Yes,,15.3,50.0,11/29/07,-25.19017,8.30515,220.0,N47A2,Biscoe,Anvers,30,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3250.0,Yes,,18.0,40.3,11/16/07,-25.33302,8.36821,195.0,N2A1,Torgersen,Anvers,3,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4700.0,Yes,,14.2,42.8,11/29/07,-25.46327,7.63452,209.0,N50A2,Biscoe,Anvers,32,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4975.0,Yes,,15.5,47.2,11/18/09,-26.21651,8.30817,215.0,N23A1,Biscoe,Anvers,103,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5000.0,Yes,,13.1,42.9,11/29/07,-25.39181,7.68528,215.0,N44A1,Biscoe,Anvers,25,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4625.0,Yes,,14.4,48.4,11/18/09,-26.13971,8.16582,203.0,N21A1,Biscoe,Anvers,99,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3450.0,Yes,,18.8,52.2,11/27/09,-24.56481,9.77528,197.0,N93A2,Dream,Anvers,56,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
2700.0,No,,16.6,46.9,11/24/08,-24.73735,9.80589,192.0,N72A1,Dream,Anvers,39,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3450.0,Yes,,17.8,36.0,11/17/09,-25.79189,8.94332,195.0,N84A1,Dream,Anvers,149,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4800.0,Yes,,20.7,52.0,11/14/08,-24.6844,9.43146,210.0,N69A2,Dream,Anvers,38,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3425.0,Yes,Not enough blood for isotopes.,19.0,41.1,11/13/07,,,182.0,N29A1,Dream,Anvers,47,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4550.0,Yes,,13.5,46.5,11/18/07,-25.32829,7.9953,210.0,N33A2,Biscoe,Anvers,6,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3800.0,Yes,,18.8,40.6,11/15/08,-25.98843,8.56674,193.0,N24A2,Biscoe,Anvers,58,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5600.0,Yes,,17.0,55.9,11/22/09,-26.35425,8.3118,228.0,N22A2,Biscoe,Anvers,102,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5200.0,Yes,,14.8,45.2,11/22/09,-26.11969,8.24246,212.0,N43A1,Biscoe,Anvers,123,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3400.0,Yes,,17.1,40.2,11/14/09,-25.54976,9.2881,193.0,N80A1,Dream,Anvers,141,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3200.0,Yes,,17.2,34.6,11/2/08,-26.5387,7.69778,189.0,N39A1,Torgersen,Anvers,81,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3550.0,Yes,,18.5,42.2,11/16/07,-25.49523,8.04787,180.0,N24A2,Dream,Anvers,38,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
